n_depots,n_customers,n_charging,n_vehicles,depot_pattern,customer_pattern,charging_pattern,shrinkage_depots,shrinkage_charging,T,seed,B,μ,travel_cost_coeff,charge_cost_coeff,load_scale,load_shape,load_tolerance,batch,permissiveness,use_load,use_time_windows,formulation,method,subpath_single_service,subpath_check_customers,path_single_service,path_check_customers,check_customers_accelerated,christofides,ngroute,ngroute_alt,ngroute_neighborhood_charging_depots_size,LP_objective,IP_objective,LP_IP_gap,counter,converged,time_taken,time_limit_reached,sp_base_time_taken_total,sp_full_time_taken_total,lp_relaxation_time_taken_total,sp_base_time_taken_mean,sp_full_time_taken_mean,lp_relaxation_time_taken_mean,lp_mean_subpath_length,lp_weighted_mean_subpath_length,lp_mean_subpath_ncust,lp_weighted_mean_subpath_ncust,lp_mean_path_length,lp_weighted_mean_path_length,lp_mean_path_ncust,lp_weighted_mean_path_ncust,lp_mean_ps_length,lp_weighted_mean_ps_length,lp_utilization,lp_driving_time_proportion,lp_charging_time_proportion,ip_mean_subpath_length,ip_weighted_mean_subpath_length,ip_mean_subpath_ncust,ip_weighted_mean_subpath_ncust,ip_mean_path_length,ip_weighted_mean_path_length,ip_mean_path_ncust,ip_weighted_mean_path_ncust,ip_mean_ps_length,ip_weighted_mean_ps_length,ip_utilization,ip_driving_time_proportion,ip_charging_time_proportion
4,36,7,8,circular,random_box,circular_packing,1.0,1.0,40000,5,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,benchmark,false,false,false,false,false,true,true,false,large,853426.0,865242.0,0.013656295001860719,8,true,584.921,false,0.0,535.9399999999999,29.066,0.0,66.99249999999999,3.63325,4.85,4.857142857142857,3.85,3.8571428571428568,12.125,12.363636363636363,9.625,9.818181818181817,2.5,2.5454545454545454,0.7579390909090908,0.6937840909090909,0.06415499999999999,5.0,5.0,4.0,4.0,11.25,11.25,9.0,9.0,2.25,2.25,0.7083475,0.65218125,0.05616625
4,24,7,8,circular,random_box,circular_packing,1.0,1.0,40000,7,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,false,large,794768.0571428572,814518.0,0.02424739889989269,8,true,53.14,false,0.0,51.05499999999999,1.406,0.0,6.381874999999999,0.17575,3.7096774193548385,3.5846153846153848,2.7096774193548385,2.5846153846153848,9.583333333333334,7.467948717948719,7.0,5.384615384615386,2.5833333333333335,2.0833333333333335,0.5835796794871795,0.5369826923076924,0.04659698717948719,3.4,3.4,2.4,2.4,6.8,6.8,4.8,4.8,2.0,2.0,0.537394,0.49854,0.038854
4,24,7,8,circular,random_box,circular_packing,1.0,1.0,40000,10,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,false,large,908500.0,933645.0,0.026932078038226503,8,true,194.275,false,0.0,188.187,4.447,0.0,23.523375,0.555875,3.789473684210526,3.5945945945945947,2.789473684210526,2.5945945945945947,10.285714285714286,10.23076923076923,7.571428571428571,7.384615384615385,2.7142857142857144,2.8461538461538463,0.8986153846153846,0.8113461538461538,0.08726923076923077,3.6666666666666665,3.6666666666666665,2.6666666666666665,2.6666666666666665,8.25,8.25,6.0,6.0,2.25,2.25,0.76005875,0.6957,0.06435875
4,28,7,8,circular,random_box,circular_packing,1.0,1.0,40000,9,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,false,small,967783.65625,994550.0,0.02691301970740534,18,true,115.259,false,0.0,114.083,0.896,0.0,6.337944444444444,0.04977777777777778,3.62,3.8087774294670846,2.62,2.8087774294670846,10.647058823529411,10.0,7.705882352941177,7.374485596707819,2.9411764705882355,2.625514403292181,0.8215731275720165,0.7439198559670782,0.07765327160493828,3.8,3.8,2.8,2.8,9.5,9.5,7.0,7.0,2.5,2.5,0.8059125,0.73409375,0.07181875
4,28,7,8,circular,random_box,circular_packing,1.0,1.0,40000,16,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,false,small,1.0649162857142857e6,1.22885e6,0.13340416998471283,18,true,79.451,false,0.0,78.255,0.8680000000000001,0.0,4.3475,0.04822222222222223,3.3636363636363638,3.2209631728045327,2.3636363636363638,2.2209631728045327,10.571428571428571,8.12142857142857,7.428571428571429,5.599999999999999,3.142857142857143,2.521428571428571,0.6889251428571427,0.626161964285714,0.06276317857142856,2.8666666666666667,2.8666666666666667,1.8666666666666667,1.8666666666666667,7.166666666666667,7.166666666666667,4.666666666666667,4.666666666666667,2.5,2.5,0.674425,0.6245208333333333,0.049904166666666666
4,28,7,8,circular,random_box,circular_packing,1.0,1.0,40000,17,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,false,small,1.0294616666666666e6,1.119389e6,0.08033608810997195,23,true,57.769,false,0.0,56.769000000000005,0.7880000000000001,0.0,2.468217391304348,0.0342608695652174,3.473684210526316,3.754098360655737,2.473684210526316,2.7540983606557377,9.428571428571429,9.956521739130432,6.714285714285714,7.304347826086956,2.7142857142857144,2.652173913043478,0.865665652173913,0.7838880434782608,0.08177760869565218,3.1538461538461537,3.1538461538461537,2.1538461538461537,2.1538461538461537,6.833333333333333,6.833333333333333,4.666666666666667,4.666666666666667,2.1666666666666665,2.1666666666666665,0.6171725,0.5741833333333334,0.04298916666666667
4,28,7,8,circular,random_box,circular_packing,1.0,1.0,40000,3,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,false,large,877054.0,881001.0,0.00448013112357426,7,true,210.321,false,0.0,204.192,4.905,0.0,29.170285714285715,0.7007142857142857,4.051282051282051,3.8865979381443303,3.051282051282051,2.8865979381443303,10.533333333333333,8.568181818181818,7.933333333333334,6.363636363636363,2.6,2.204545454545454,0.6565477272727271,0.6081193181818181,0.048428409090909084,3.8,3.8,2.8,2.8,7.6,7.6,5.6,5.6,2.0,2.0,0.586947,0.5499,0.037047
4,32,7,8,circular,random_box,circular_packing,1.0,1.0,40000,7,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,false,small,901029.3333333334,931758.0,0.03297923566705796,14,true,71.192,false,0.0,70.12299999999999,0.6920000000000002,0.0,5.008785714285714,0.04942857142857144,4.4411764705882355,4.588785046728972,3.4411764705882355,3.5887850467289715,10.785714285714286,8.92727272727273,8.357142857142858,6.981818181818181,2.4285714285714284,1.9454545454545455,0.6454734545454546,0.5959245454545455,0.049548909090909095,4.2,4.2,3.2,3.2,8.4,8.4,6.4,6.4,2.0,2.0,0.611018,0.56331,0.047708
4,32,7,8,circular,random_box,circular_packing,1.0,1.0,40000,11,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,false,small,876810.0,892650.0,0.01774491682070245,16,true,211.239,false,0.0,209.96800000000002,0.8890000000000003,0.0,13.123000000000001,0.05556250000000002,4.466666666666667,4.26530612244898,3.466666666666667,3.2653061224489806,10.307692307692308,9.95238095238095,8.0,7.61904761904762,2.3076923076923075,2.333333333333333,0.6862928571428571,0.6344107142857143,0.051882142857142856,3.909090909090909,3.909090909090909,2.909090909090909,2.909090909090909,8.6,8.6,6.4,6.4,2.2,2.2,0.59559,0.558825,0.036765
4,32,7,8,circular,random_box,circular_packing,1.0,1.0,40000,16,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,false,small,1.091624157142857e6,1.198238e6,0.08897551476179433,20,true,201.891,false,0.0,200.197,1.2879999999999998,0.0,10.00985,0.06439999999999999,3.9038461538461537,3.4229313142239057,2.9038461538461537,2.4229313142239053,11.941176470588236,8.693681318681321,8.882352941176471,6.153846153846155,3.0588235294117645,2.5398351648351647,0.6818099038461539,0.6223694368131869,0.059440467032967036,3.2857142857142856,3.2857142857142856,2.2857142857142856,2.2857142857142856,7.666666666666667,7.666666666666667,5.333333333333333,5.333333333333333,2.3333333333333335,2.3333333333333335,0.6585683333333333,0.6107333333333334,0.047835
4,32,7,8,circular,random_box,circular_packing,1.0,1.0,40000,17,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,false,small,1.128547e6,1.209198e6,0.06669792705578403,17,true,73.817,false,0.0,72.45600000000002,1.094,0.0,4.262117647058824,0.0643529411764706,3.6176470588235294,3.857142857142857,2.6176470588235294,2.857142857142857,10.25,10.536585365853659,7.416666666666667,7.804878048780488,2.8333333333333335,2.731707317073171,0.8857660975609757,0.8006384146341464,0.08512768292682928,3.4615384615384617,3.4615384615384617,2.4615384615384617,2.4615384615384617,7.5,7.5,5.333333333333333,5.333333333333333,2.1666666666666665,2.1666666666666665,0.6645283333333334,0.6162,0.048328333333333334
4,40,7,8,circular,random_box,circular_packing,1.0,1.0,40000,1,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,benchmark,false,false,false,false,false,true,true,false,large,1.1738858333333333e6,1.18256e6,0.007335075316826867,10,true,1399.138,false,0.0,1122.567,251.76200000000006,0.0,112.2567,25.176200000000005,4.119047619047619,4.199999999999999,3.119047619047619,3.1999999999999997,10.8125,11.052631578947368,8.1875,8.421052631578947,2.625,2.6315789473684212,0.8014015789473684,0.730334649122807,0.07106692982456139,4.076923076923077,4.076923076923077,3.076923076923077,3.076923076923077,10.6,10.6,8.0,8.0,2.6,2.6,0.769536,0.70378,0.065756
4,32,7,8,circular,random_box,circular_packing,1.0,1.0,40000,19,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,false,small,1.10340025e6,1.12543e6,0.019574518184160672,19,true,114.627,false,0.0,113.176,1.1400000000000001,0.0,5.956631578947369,0.060000000000000005,3.6451612903225805,3.56,2.6451612903225805,2.56,10.272727272727273,10.470588235294118,7.454545454545454,7.529411764705882,2.8181818181818183,2.9411764705882355,0.8380032352941177,0.7599323529411764,0.07807088235294117,3.4615384615384617,3.4615384615384617,2.4615384615384617,2.4615384615384617,9.0,9.0,6.4,6.4,2.6,2.6,0.735258,0.675215,0.060043
4,32,7,8,circular,random_box,circular_packing,1.0,1.0,40000,2,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,false,large,1.209354e6,1.209354e6,0.0,7,true,165.254,false,0.0,152.137,11.698000000000002,0.0,21.733857142857143,1.6711428571428575,3.1333333333333333,3.1333333333333333,2.1333333333333333,2.1333333333333333,7.833333333333333,7.833333333333333,5.333333333333333,5.333333333333333,2.5,2.5,0.6627116666666667,0.6127125,0.049999166666666664,3.1333333333333333,3.1333333333333333,2.1333333333333333,2.1333333333333333,7.833333333333333,7.833333333333333,5.333333333333333,5.333333333333333,2.5,2.5,0.6627116666666667,0.6127125,0.049999166666666664
4,32,7,8,circular,random_box,circular_packing,1.0,1.0,40000,18,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,false,large,970835.0,974121.0,0.0033732975677559507,8,true,173.946,false,0.0,168.639,4.207,0.0,21.079875,0.525875,3.9285714285714284,4.0476190476190474,2.9285714285714284,3.0476190476190474,9.166666666666666,9.444444444444445,6.833333333333333,7.111111111111111,2.3333333333333335,2.3333333333333335,0.7072233333333333,0.6518527777777777,0.055370555555555555,3.909090909090909,3.909090909090909,2.909090909090909,2.909090909090909,8.6,8.6,6.4,6.4,2.2,2.2,0.639947,0.591075,0.048872
4,36,7,8,circular,random_box,circular_packing,1.0,1.0,40000,1,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,false,small,965172.3636363636,1.04717e6,0.07830403503121397,22,true,179.145,false,0.0,177.72799999999998,1.0729999999999997,0.0,8.078545454545454,0.04877272727272726,4.321428571428571,4.463556851311954,3.3214285714285716,3.463556851311954,12.736842105263158,11.257352941176475,9.789473684210526,8.735294117647062,2.9473684210526314,2.522058823529412,0.7607122058823531,0.6944721507352943,0.06624005514705884,3.769230769230769,3.769230769230769,2.769230769230769,2.769230769230769,8.166666666666666,8.166666666666666,6.0,6.0,2.1666666666666665,2.1666666666666665,0.583585,0.5488208333333333,0.034764166666666665
