seed,n_customers,ngroute_neighborhood_size,ngroute_neighborhood_depots_size,ngroute_neighborhood_charging_size,method,ngroute_alt,time_taken_first,time_taken_total,n_iterations,n_CG_iterations,sp_time_taken_mean_first,sp_time_taken_mean_last,LP_objective_first,LP_objective_last,IP_objective_first,IP_objective_last,LP_IP_gap_first,LP_IP_gap_last
17,16,4,small,small,ours,true,3.751,6.832084958,3,23,0.28284615384615386,0.2783333333333334,735836.6666666667,799980.0,831930.0,801710.0,11.550651296783776,0.21578875154357746
17,16,4,small,small,ours,false,2.485,7.829044583,3,23,0.18653846153846154,0.5535,735836.6666666667,799980.0,831930.0,801710.0,11.550651296783776,0.21578875154357746
18,16,4,small,small,ours,true,4.644,8.903596917,3,21,0.4577,0.40575,611795.0,663967.0,692677.0,678467.0,11.676726670583836,2.1371710046324988
18,16,4,small,small,ours,false,3.221,10.369197458,3,21,0.31529999999999997,0.747,611795.0,663967.0,692677.0,678467.0,11.676726670583836,2.1371710046324988
19,16,4,small,small,ours,true,4.929,9.510134,2,25,0.34664285714285714,0.4081818181818182,689036.0,692192.0,692192.0,692192.0,0.45594285978456384,0.0
19,16,4,small,small,ours,false,3.108,9.3539625,2,25,0.2177857142857143,0.5584545454545454,689036.0,692192.0,692192.0,692192.0,0.45594285978456384,0.0
20,16,4,small,small,ours,true,2.824,7.516958416,5,38,0.21369230769230768,0.18966666666666665,609971.6666666666,636720.0,709636.0,636720.0,14.044430290083,0.0
20,16,4,small,small,ours,false,1.862,5.263442708,5,38,0.13976923076923078,0.14466666666666667,609971.6666666666,636720.0,709636.0,636720.0,14.044430290083,0.0
1,16,4,small,small,benchmark,true,9.647,14.275553458,3,18,0.8669090909090909,0.6675,640498.4047619047,674785.5,686313.0,686313.0,6.675466622094472,1.6796272254787525
1,16,4,small,small,benchmark,false,12.564,19.389122083,3,18,1.1332727272727274,1.0354999999999999,640498.4047619047,674785.5,686313.0,686313.0,6.675466622094472,1.6796272254787525
2,16,4,small,small,benchmark,true,6.117,9.578560459,2,16,0.6054000000000002,0.5655,905256.0,935864.0,998840.0,935864.0,9.369268351287497,0.0
2,16,4,small,small,benchmark,false,7.602,11.730778,2,16,0.7546999999999999,0.6756666666666667,905256.0,935864.0,998840.0,935864.0,9.369268351287497,0.0
3,16,4,small,small,benchmark,true,12.124,19.491819209,3,24,1.0025,0.6004,630433.5,648910.0,655086.0,649010.0,3.763246352387317,0.015408083080381552
3,16,4,small,small,benchmark,false,16.199,26.547869084,3,24,1.341833333333333,0.8802,630433.5,648910.0,655086.0,649010.0,3.763246352387317,0.015408083080381552
4,16,4,small,small,benchmark,true,11.012,14.827220625,2,16,0.9916363636363638,0.7282,524486.3333333334,535531.0,535531.0,535531.0,2.062376718932546,0.0
4,16,4,small,small,benchmark,false,14.107,20.397797833,2,16,1.2728181818181818,1.2204000000000002,524486.3333333334,535531.0,535531.0,535531.0,2.062376718932546,0.0
5,16,4,small,small,benchmark,true,75.455,90.092416542,4,25,6.7890000000000015,0.9756666666666667,563581.0,630043.9999999999,741436.0,633472.0,23.98790994772306,0.5411446756920735
5,16,4,small,small,benchmark,false,100.541,119.982693375,4,25,9.067636363636364,1.4373333333333331,563581.0,630043.9999999999,741436.0,633472.0,23.98790994772306,0.5411446756920735
6,16,4,small,small,benchmark,true,13.047,17.038879333,2,16,1.2944,0.638,675755.0,705972.0,848688.0,712344.0,20.376510566898553,0.894511640443385
6,16,4,small,small,benchmark,false,9.969,15.712046708,2,16,0.9856,0.9298333333333334,675755.0,705972.0,848688.0,712344.0,20.376510566898553,0.894511640443385
7,16,4,small,small,benchmark,true,3.968,7.228155167,4,17,0.4355555555555555,0.41,638485.0,694920.0,728240.0,695530.0,12.324920355926617,0.08770290282230642
7,16,4,small,small,benchmark,false,4.978,10.005889958,4,17,0.5485555555555556,0.654,638485.0,694920.0,728240.0,695530.0,12.324920355926617,0.08770290282230642
8,16,4,small,small,benchmark,true,10.72,28.513921791,4,27,1.0627999999999997,0.691,656979.5,678792.0,688562.0,678792.0,4.586732930367932,0.0
8,16,4,small,small,benchmark,false,14.155,44.908289917,4,27,1.4036000000000002,1.494,656979.5,678792.0,688562.0,678792.0,4.586732930367932,0.0
9,16,4,small,small,benchmark,true,8.654,10.597328917,2,14,1.061125,0.2961666666666667,659363.3333333334,660230.0,731076.0,660230.0,9.809194484111995,0.0
9,16,4,small,small,benchmark,false,12.013,15.040404084,2,14,1.485125,0.4801666666666667,659363.3333333334,660230.0,731076.0,660230.0,9.809194484111995,0.0
