seed,n_customers,ngroute_neighborhood_size,ngroute_neighborhood_depots_size,ngroute_neighborhood_charging_size,method,ngroute_alt,time_taken_first,time_taken_total,time_taken_total_SR3,n_iterations,n_CG_iterations,sp_time_taken_mean_first,sp_time_taken_mean_last,sp_time_taken_mean_last_SR3,LP_objective_first,LP_objective_last,LP_objective_last_SR3,IP_objective_first,IP_objective_last,IP_objective_last_SR3,LP_IP_gap_first,LP_IP_gap_last,LP_IP_gap_last_SR3
12,16,4,small,small,ours,false,0.345,0.6339999999999999,0.6339999999999999,2,20,0.02185714285714286,0.04666666666666666,0.04666666666666666,568540.0,580077.0,580077.0,652617.0,580077.0,580077.0,12.883053919833532,0.0,0.0
13,16,4,small,small,ours,true,0.303,0.44399999999999995,1.4669999999999999,6,21,0.021833333333333337,0.0335,0.20299999999999999,716791.5,756618.0,761288.0,766933.0,761288.0,761288.0,6.537924434077036,0.6134340748836231,0.0
13,16,4,small,small,ours,false,0.336,0.603,1.192,6,23,0.025000000000000005,0.06475,0.092,716791.5,756618.0,761288.0,766933.0,761288.0,761288.0,6.537924434077036,0.6134340748836231,0.0
14,16,4,small,small,ours,true,0.197,0.504,0.677,7,25,0.016300000000000002,0.016999999999999998,0.171,770203.3333333334,802301.0,804605.0,808150.0,808150.0,808150.0,4.695497947988203,0.7237517787539449,0.0043865619006372425
14,16,4,small,small,ours,false,0.259,0.7859999999999999,0.9359999999999999,7,26,0.022400000000000003,0.049,0.07350000000000001,770203.3333333334,802301.0,804605.0,808150.0,808150.0,808150.0,4.695497947988203,0.7237517787539449,0.0043865619006372425
15,16,4,small,small,ours,true,0.338,0.547,0.547,2,18,0.024333333333333335,0.03266666666666667,0.03266666666666667,685822.6923076924,748454.0,748454.0,756340.0,748454.0,748454.0,9.323493097324963,0.0,0.0
15,16,4,small,small,ours,false,0.382,0.817,0.817,2,19,0.027583333333333335,0.05971428571428571,0.05971428571428571,685822.6923076924,748454.0,748454.0,756340.0,748454.0,748454.0,9.323493097324963,0.0,0.0
16,16,4,small,small,ours,true,0.338,0.522,1.101,5,30,0.0171875,0.015181818181818187,0.286,819143.75,840765.0,844934.0,874900.0,844934.0,844934.0,6.372871185278317,0.4934113197007095,0.0
16,16,4,small,small,ours,false,0.381,0.847,1.2389999999999999,5,34,0.018437500000000002,0.04072727272727274,0.05,819143.75,840765.0,844934.0,874900.0,844934.0,844934.0,6.372871185278317,0.4934113197007095,0.0
17,16,4,small,small,ours,true,0.337,0.671,0.8330000000000001,4,27,0.018600000000000005,0.023666666666666666,0.159,735836.6666666667,799980.0,801710.0,845212.0,801710.0,801710.0,12.940579799308727,0.21578875154357746,0.0
17,16,4,small,small,ours,false,0.385,1.595,1.814,4,30,0.021800000000000007,0.094125,0.107,735836.6666666667,799980.0,801710.0,845212.0,801710.0,801710.0,12.940579799308727,0.21578875154357746,0.0
18,16,4,small,small,ours,true,0.443,0.818,2.2049999999999996,6,27,0.03166666666666667,0.034999999999999996,0.426,611795.0,663967.0,677437.0,719764.0,677437.0,677437.0,15.000611311485434,1.9883767789477091,0.0
18,16,4,small,small,ours,false,0.495,1.675,4.531,7,39,0.03616666666666667,0.12916666666666668,0.18433333333333335,611795.0,663967.0,675153.5,719764.0,677437.0,677437.0,15.000611311485434,1.9883767789477091,0.0033707931512451106
19,16,4,small,small,ours,true,0.368,0.865,0.865,2,25,0.024846153846153848,0.03941666666666667,0.03941666666666667,689036.0,692192.0,692192.0,692192.0,692192.0,692192.0,0.45594285978456384,0.0,0.0
19,16,4,small,small,ours,false,0.385,1.411,1.411,2,24,0.022307692307692313,0.09145454545454543,0.09145454545454543,689036.0,692192.0,692192.0,692192.0,692192.0,692192.0,0.45594285978456384,0.0,0.0
20,16,4,small,small,ours,true,0.237,0.446,0.446,5,27,0.016583333333333335,0.013749999999999998,0.013749999999999998,609971.6666666666,636720.0,636720.0,707878.0,636720.0,636720.0,13.830961455693402,0.0,0.0
20,16,4,small,small,ours,false,0.267,0.5569999999999999,0.5569999999999999,5,27,0.01941666666666667,0.0205,0.0205,609971.6666666666,636720.0,636720.0,707878.0,636720.0,636720.0,13.830961455693402,0.0,0.0
1,16,4,small,small,benchmark,true,1.529,2.444,2.6029999999999998,4,19,0.13770000000000002,0.104,0.156,640498.4047619047,674785.5,675981.5,686313.0,686313.0,686313.0,6.675466622094472,1.6796272254787525,0.015053627135140912
1,16,4,small,small,benchmark,false,2.084,3.4349999999999996,3.651,4,19,0.19190000000000002,0.16799999999999998,0.213,640498.4047619047,674785.5,675981.5,686313.0,686313.0,686313.0,6.675466622094472,1.6796272254787525,0.015053627135140912
2,16,4,small,small,benchmark,true,0.839,1.289,1.289,2,16,0.07270000000000001,0.0725,0.0725,905256.0,935864.0,935864.0,998840.0,935864.0,935864.0,9.369268351287497,0.0,0.0
2,16,4,small,small,benchmark,false,1.223,1.826,1.826,2,16,0.1165,0.09816666666666667,0.09816666666666667,905256.0,935864.0,935864.0,998840.0,935864.0,935864.0,9.369268351287497,0.0,0.0
3,16,4,small,small,benchmark,true,1.999,3.195,3.663,4,27,0.15591666666666668,0.10139999999999998,0.154,630433.5,648910.0,649010.0,655086.0,649010.0,649010.0,3.763246352387317,0.015408083080381552,0.0
3,16,4,small,small,benchmark,false,3.019,4.970000000000001,5.626,4,27,0.24258333333333337,0.16740000000000002,0.21633333333333335,630433.5,648910.0,649010.0,655086.0,649010.0,649010.0,3.763246352387317,0.015408083080381552,0.0
4,16,4,small,small,benchmark,true,2.027,2.887,2.887,2,19,0.14484615384615385,0.141,0.141,524486.3333333334,535531.0,535531.0,535531.0,535531.0,535531.0,2.062376718932546,0.0,0.0
4,16,4,small,small,benchmark,false,2.874,4.348,4.348,2,19,0.20861538461538462,0.24333333333333332,0.24333333333333332,524486.3333333334,535531.0,535531.0,535531.0,535531.0,535531.0,2.062376718932546,0.0,0.0
5,16,4,small,small,benchmark,true,34.664,37.81099999999999,38.78499999999999,5,34,2.4049285714285715,0.1552,0.32233333333333336,563581.0,630044.0,633472.0,792441.0,633472.0,633472.0,28.880383523820697,0.5411446756920624,0.0
5,16,4,small,small,benchmark,false,38.407,42.396,43.387,5,34,2.674571428571429,0.225,0.328,563581.0,630044.0,633472.0,792441.0,633472.0,633472.0,28.880383523820697,0.5411446756920624,0.0
6,16,4,small,small,benchmark,true,1.817,2.339,4.526999999999999,7,34,0.10475000000000001,0.08016666666666666,0.2845,675755.0,705972.0,712344.0,712344.0,712344.0,712344.0,5.1364228518805515,0.894511640443385,0.0
6,16,4,small,small,benchmark,false,2.561,3.411,6.1160000000000005,7,34,0.14975,0.1391666666666667,0.31000000000000005,675755.0,705972.0,712344.0,712344.0,712344.0,712344.0,5.1364228518805515,0.894511640443385,0.0
7,16,4,small,small,benchmark,true,0.788,1.455,1.56,5,21,0.07110000000000001,0.051,0.102,638485.0,694920.0,695530.0,748444.0,695530.0,695530.0,14.691680339477632,0.08770290282230642,0.0
7,16,4,small,small,benchmark,false,1.063,2.194,2.3409999999999997,5,21,0.09849999999999999,0.097,0.143,638485.0,694920.0,695530.0,748444.0,695530.0,695530.0,14.691680339477632,0.08770290282230642,0.0
8,16,4,small,small,benchmark,true,1.814,5.125000000000001,5.125000000000001,4,27,0.173,0.136,0.136,656979.5,678792.0,678792.0,688562.0,678792.0,678792.0,4.586732930367932,0.0,0.0
8,16,4,small,small,benchmark,false,2.7,8.822000000000001,8.822000000000001,4,27,0.2612,0.317,0.317,656979.5,678792.0,678792.0,688562.0,678792.0,678792.0,4.586732930367932,0.0,0.0
9,16,4,small,small,benchmark,true,1.511,1.778,1.778,2,14,0.16999999999999998,0.04016666666666667,0.04016666666666667,659363.3333333334,660230.0,660230.0,731076.0,660230.0,660230.0,9.809194484111995,0.0,0.0
9,16,4,small,small,benchmark,false,2.335,2.812,2.812,2,14,0.27375000000000005,0.07516666666666667,0.07516666666666667,659363.3333333334,660230.0,660230.0,731076.0,660230.0,660230.0,9.809194484111995,0.0,0.0
10,16,4,small,small,benchmark,true,12.457,23.917,23.917,3,29,0.752125,0.47225000000000006,0.47225000000000006,656928.888888889,712946.0,712946.0,769378.0,713300.0,713300.0,14.615587021088594,0.04962848731249192,0.0004962848731249192
10,16,4,small,small,benchmark,false,17.221,29.091,29.091,3,29,1.054,0.8957499999999999,0.8957499999999999,656928.888888889,712946.0,712946.0,769378.0,713300.0,713300.0,14.615587021088594,0.04962848731249192,0.0004962848731249192
11,16,4,small,small,benchmark,true,5.601,11.048,11.048,3,25,0.41792307692307684,0.5205714285714286,0.5205714285714286,597335.3,647118.0,647118.0,691528.0,647118.0,647118.0,13.620952441549717,0.0,0.0
11,16,4,small,small,benchmark,false,7.014,20.195999999999998,20.195999999999998,3,25,0.5296923076923077,1.1751428571428573,1.1751428571428573,597335.3,647118.0,647118.0,691528.0,647118.0,647118.0,13.620952441549717,0.0,0.0
12,16,4,small,small,benchmark,true,1.133,2.028,2.028,2,21,0.10359999999999998,0.07736363636363636,0.07736363636363636,568540.0,580077.0,580077.0,652617.0,580077.0,580077.0,12.883053919833532,0.0,0.0
12,16,4,small,small,benchmark,false,1.584,2.821,2.821,2,21,0.14709999999999998,0.10854545454545454,0.10854545454545454,568540.0,580077.0,580077.0,652617.0,580077.0,580077.0,12.883053919833532,0.0,0.0
13,16,4,small,small,benchmark,true,1.337,1.692,2.653,6,22,0.11181818181818182,0.08625000000000001,0.1625,716791.5,756618.0,761288.0,790983.0,761288.0,761288.0,9.379657969893163,0.6134340748836231,0.0
13,16,4,small,small,benchmark,false,1.845,2.39,3.508,6,22,0.15590909090909089,0.1335,0.177,716791.5,756618.0,761288.0,790983.0,761288.0,761288.0,9.379657969893163,0.6134340748836231,0.0
14,16,4,small,small,benchmark,true,0.89,1.5850000000000002,1.8090000000000002,7,24,0.0795,0.053,0.10999999999999999,770203.3333333334,802301.0,808150.0,808150.0,808150.0,808150.0,4.695497947988203,0.7237517787539449,0.0
