n_depots,n_customers,n_charging,n_vehicles,depot_pattern,customer_pattern,charging_pattern,shrinkage_depots,shrinkage_charging,T,seed,B,μ,travel_cost_coeff,charge_cost_coeff,load_scale,load_shape,load_tolerance,batch,permissiveness,use_load,use_time_windows,formulation,method,subpath_single_service,subpath_check_customers,path_single_service,path_check_customers,check_customers_accelerated,LP_objective,IP_objective,LP_IP_gap,counter,converged,time_taken,sp_base_time_taken_total,sp_full_time_taken_total,lp_relaxation_time_taken_total,sp_base_time_taken_mean,sp_full_time_taken_mean,lp_relaxation_time_taken_mean,lp_mean_subpath_length,lp_weighted_mean_subpath_length,lp_mean_path_length,lp_weighted_mean_path_length,lp_mean_ps_length,lp_weighted_mean_ps_length,ip_mean_subpath_length,ip_weighted_mean_subpath_length,ip_mean_path_length,ip_weighted_mean_path_length,ip_mean_ps_length,ip_weighted_mean_ps_length
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,19,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,true,subpath,benchmark,false,false,true,true,true,825160.0,825160.0,0.0,12,true,28.521,0.0,28.169000000000004,0.252,0.0,2.347416666666667,0.021,2.466666666666667,2.4285714285714284,3.75,3.5,1.875,1.75,2.5384615384615383,2.4285714285714284,3.857142857142857,3.5,1.8571428571428572,1.75
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,19,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,false,false,false,false,false,676692.943722944,864773.0,0.27794002881469515,17,true,2.389,0.35400000000000004,1.4769999999999999,0.3870000000000001,0.02082352941176471,0.08688235294117647,0.022764705882352947,3.7027027027027026,2.5921426725252,7.705882352941177,3.5,2.5294117647058822,1.5702110389610393,2.6666666666666665,2.5384615384615383,3.857142857142857,3.5,1.7142857142857142,1.625
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,19,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,true,false,false,false,false,705068.4285714286,843053.0,0.19570380098871842,16,true,12.155,8.49,1.3359999999999999,0.4590000000000002,0.530625,0.08349999999999999,0.02868750000000001,3.324324324324324,2.5700934579439254,6.764705882352941,3.5,2.4705882352941178,1.592261904761905,2.6666666666666665,2.5384615384615383,3.857142857142857,3.5,1.7142857142857142,1.625
4,16,9,8,circular,random_box,grid,1.0,0.7,40000,4,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,true,true,false,false,true,514813.57894736854,590081.0,0.14620325517933996,15,true,9.456,7.055000000000001,1.1020000000000003,0.2370000000000001,0.4703333333333334,0.0734666666666667,0.015800000000000005,3.2758620689655173,2.3559322033898313,6.461538461538462,3.0000000000000004,2.3846153846153846,1.475,2.4545454545454546,2.3333333333333335,3.2857142857142856,3.0,1.5714285714285714,1.5
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,19,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,true,true,false,false,false,705068.4285714288,843053.0,0.1957038009887182,15,true,48.133,44.525,2.8670000000000004,0.42500000000000016,2.9683333333333333,0.19113333333333335,0.028333333333333342,3.388888888888889,2.5700934579439254,6.764705882352941,3.4999999999999996,2.411764705882353,1.5922619047619047,2.5384615384615383,2.5384615384615383,3.5,3.5,1.625,1.625
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,19,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,true,true,false,false,true,705068.4285714286,843053.0,0.19570380098871842,16,true,15.382,11.925,1.307,0.42400000000000015,0.7453125,0.0816875,0.02650000000000001,3.324324324324324,2.5700934579439254,6.764705882352941,3.5,2.4705882352941178,1.592261904761905,2.6666666666666665,2.5384615384615383,3.857142857142857,3.5,1.7142857142857142,1.625
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,19,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,true,false,true,false,false,789761.5,792343.0,0.0032687083378970527,13,true,7.666,6.619999999999999,0.77,0.15900000000000003,0.5092307692307692,0.05923076923076923,0.012230769230769233,3.0714285714285716,2.5384615384615383,5.25,3.5,2.0,1.625,2.6666666666666665,2.5384615384615383,3.857142857142857,3.5,1.7142857142857142,1.625
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,19,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,true,true,true,true,false,788807.6666666666,800323.0,0.014598404427272671,8,true,218.865,22.593,192.779,2.183,2.824125,24.097375,0.272875,3.3684210526315788,2.578947368421052,5.6,3.5000000000000004,2.0,1.5833333333333337,2.8181818181818183,2.6666666666666665,3.857142857142857,3.5,1.5714285714285714,1.5
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,19,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,true,true,true,true,true,788807.6666666665,792343.0,0.004481869893928625,16,true,109.663,22.425,86.88199999999999,0.19600000000000006,1.4015625,5.430124999999999,0.012250000000000004,3.3684210526315788,2.5789473684210535,5.6,3.5000000000000004,2.0,1.5833333333333333,2.6666666666666665,2.5384615384615383,3.857142857142857,3.5,1.7142857142857142,1.625
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,491649.8667726404,808551.0,0.6445667021280981,19,true,60.742,0.0,57.67300000000001,2.092,0.0,3.0354210526315795,0.11010526315789475,5.846153846153846,2.1721024408110527,18.666666666666668,3.5000000000000004,3.611111111111111,1.5425113738268874,2.5833333333333335,2.3846153846153846,3.857142857142857,3.5,1.7142857142857142,1.625
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,true,path,benchmark,false,false,false,false,false,538149.2454545455,855789.0,0.5902447271428606,13,true,8.057,0.0,6.994999999999999,0.6560000000000001,0.0,0.538076923076923,0.050461538461538474,3.9361702127659575,2.245714021657091,8.0,3.5,2.35,1.5369554924242423,2.6666666666666665,2.6666666666666665,3.5,3.5,1.5,1.5
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,true,false,false,579681.0,579681.0,0.0,11,true,3.772,0.0,3.4059999999999997,0.16200000000000003,0.0,0.3096363636363636,0.01472727272727273,3.0,2.4545454545454546,4.333333333333333,3.5,1.5,1.375,3.0,2.4545454545454546,4.333333333333333,3.5,1.5,1.375
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,true,path,benchmark,false,false,true,false,false,651023.0,654603.0,0.005499037668408091,11,true,2.257,0.0,2.034,0.10800000000000001,0.0,0.18490909090909088,0.00981818181818182,2.7333333333333334,2.4782608695652173,3.8,3.5,1.5,1.4375,2.8,2.5454545454545454,3.857142857142857,3.5,1.4285714285714286,1.375
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,true,true,false,579681.0,579681.0,0.0,7,true,2648.611,0.0,2638.9579999999996,7.787,0.0,376.99399999999997,1.1124285714285713,3.0,2.4545454545454546,4.333333333333333,3.5,1.5,1.375,3.0,2.4545454545454546,4.333333333333333,3.5,1.5,1.375
4,16,9,8,circular,random_box,grid,1.0,0.7,40000,4,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,true,false,true,false,false,544760.0,544760.0,0.0,10,true,3.957,3.3909999999999996,0.39999999999999997,0.09900000000000003,0.33909999999999996,0.039999999999999994,0.009900000000000003,2.7777777777777777,2.3333333333333335,4.2,3.0,1.8,1.5,2.7777777777777777,2.3333333333333335,4.2,3.0,1.8,1.5
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,true,path,benchmark,false,false,true,true,false,646218.0,650633.0,0.0068320597693039,8,true,334.028,0.0,332.14599999999996,1.24,0.0,41.518249999999995,0.155,2.9411764705882355,2.4782608695652173,4.181818181818182,3.5,1.5454545454545454,1.4375,2.8,2.5454545454545454,3.857142857142857,3.5,1.4285714285714286,1.375
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,ours,false,false,false,false,false,491649.86677264044,795881.0,0.6187963300477184,20,true,7.659,0.9420000000000002,5.936999999999999,0.466,0.04710000000000001,0.29684999999999995,0.0233,5.923076923076923,2.6207335922571744,18.77777777777778,3.5000000000000004,3.611111111111111,1.5425113738268876,2.8181818181818183,2.6666666666666665,3.857142857142857,3.5,1.5714285714285714,1.5
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,ours,true,false,false,false,false,529900.0,669674.0,0.2637742970371768,11,true,8.708,6.332,1.8,0.3390000000000001,0.5756363636363636,0.16363636363636364,0.030818181818181824,4.0,2.694915254237288,7.3,3.5,2.1,1.475,3.0,2.8181818181818183,3.857142857142857,3.5,1.4285714285714286,1.375
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,ours,true,true,false,false,false,529900.0,669674.0,0.2637742970371768,12,true,79.749,71.098,7.782,0.3860000000000001,5.924833333333333,0.6485,0.03216666666666668,3.736842105263158,2.694915254237288,6.777777777777778,3.5,2.111111111111111,1.475,3.0,2.8181818181818183,3.857142857142857,3.5,1.4285714285714286,1.375
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,ours,true,false,true,false,false,579681.0,579681.0,0.0,13,true,6.526,5.7780000000000005,0.585,0.09700000000000003,0.4444615384615385,0.045,0.007461538461538464,3.2222222222222223,2.8181818181818183,4.333333333333333,3.5,1.5,1.375,3.2222222222222223,2.8181818181818183,4.333333333333333,3.5,1.5,1.375
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,ours,true,true,true,true,false,579681.0,579681.0,0.0,9,true,529.126,46.441,479.41499999999996,2.405,5.160111111111111,53.26833333333333,0.2672222222222222,3.2222222222222223,2.8181818181818183,4.333333333333333,3.5,1.5,1.375,3.2222222222222223,2.8181818181818183,4.333333333333333,3.5,1.5,1.375
