n_depots,n_customers,n_charging,n_vehicles,depot_pattern,customer_pattern,charging_pattern,shrinkage_depots,shrinkage_charging,T,seed,B,μ,travel_cost_coeff,charge_cost_coeff,load_scale,load_shape,load_tolerance,batch,permissiveness,use_load,use_time_windows,method,subpath_single_service,subpath_check_customers,path_single_service,path_check_customers,check_customers_accelerated,LP_objective,IP_objective,LP_IP_gap,counter,converged,time_taken,sp_base_time_taken_total,sp_full_time_taken_total,lp_relaxation_time_taken_total,sp_base_time_taken_mean,sp_full_time_taken_mean,lp_relaxation_time_taken_mean,lp_mean_subpath_length,lp_weighted_mean_subpath_length,lp_mean_path_length,lp_weighted_mean_path_length,lp_mean_ps_length,lp_weighted_mean_ps_length,ip_mean_subpath_length,ip_weighted_mean_subpath_length,ip_mean_path_length,ip_weighted_mean_path_length,ip_mean_ps_length,ip_weighted_mean_ps_length
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,12,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,true,false,false,true,663110.2105263156,847785.0,0.2784978824667872,26,true,126.228,117.096,7.609000000000001,1.0290000000000001,4.503692307692308,0.2926538461538462,0.03957692307692308,3.466666666666667,2.7674418604651168,9.5625,3.999999999999999,3.125,1.6973684210526312,3.1818181818181817,3.0,4.428571428571429,4.0,1.5714285714285714,1.5
4,20,6,8,circular,random_box,grid,1.0,0.7,40000,10,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,benchmark,false,false,true,false,false,768735.0,768735.0,0.0,10,true,3.116,0.0,2.7220000000000004,0.26100000000000007,0.0,0.27220000000000005,0.026100000000000005,2.5384615384615383,2.5384615384615383,3.5,3.5,1.625,1.625,2.5384615384615383,2.5384615384615383,3.5,3.5,1.625,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,12,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,false,true,false,false,707610.0,707610.0,0.0,20,true,37.695,33.712,3.288,0.39,1.6856000000000002,0.1644,0.0195,3.4,2.8461538461538463,5.8,4.0,2.0,1.625,3.4,2.8461538461538463,5.8,4.0,2.0,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,12,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,true,true,true,false,700706.8333333333,704710.0,0.005713040712937323,10,true,8014.078,187.08200000000002,7788.094,29.764000000000003,18.7082,778.8094,2.9764000000000004,4.0285714285714285,2.9200000000000004,8.533333333333333,4.0,2.466666666666667,1.5624999999999998,3.4,2.8461538461538463,5.8,4.0,2.0,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,12,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,true,true,true,true,704710.0,704710.0,0.0,25,true,1805.077,140.44899999999998,1663.674,0.6220000000000001,5.617959999999999,66.54696,0.024880000000000003,3.4,2.8461538461538463,5.8,4.0,2.0,1.625,3.4,2.8461538461538463,5.8,4.0,2.0,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,13,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,benchmark,false,false,false,false,false,513613.23690476187,1.11244e6,1.165909910546712,12,true,23.273,0.0,21.216000000000005,1.5560000000000003,0.0,1.7680000000000005,0.12966666666666668,4.283333333333333,2.6804201050262573,11.090909090909092,4.000000000000001,3.1363636363636362,1.7852678571428569,2.411764705882353,2.411764705882353,4.0,4.0,2.125,2.125
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,13,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,benchmark,false,false,true,false,false,722090.0,730295.0,0.011362849506294292,10,true,7.151,0.0,6.441,0.3450000000000001,0.0,0.6441,0.03450000000000001,3.1875,2.8461538461538463,4.888888888888889,4.0,1.7777777777777777,1.625,2.8461538461538463,2.8461538461538463,4.0,4.0,1.625,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,13,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,benchmark,false,false,true,true,false,721980.0,721980.0,0.0,6,true,16148.186,0.0,16112.235999999999,29.411999999999995,0.0,2685.3726666666666,4.901999999999999,2.8461538461538463,2.7142857142857144,4.428571428571429,4.0,1.8571428571428572,1.75,2.8461538461538463,2.7142857142857144,4.428571428571429,4.0,1.8571428571428572,1.75
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,13,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,benchmark,false,false,true,true,true,721980.0,721980.0,0.0,14,true,5215.518,0.0,5214.715,0.5770000000000001,0.0,372.4796428571429,0.04121428571428572,2.7142857142857144,2.7142857142857144,4.0,4.0,1.75,1.75,2.8461538461538463,2.7142857142857144,4.428571428571429,4.0,1.8571428571428572,1.75
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,13,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,false,false,false,false,false,593100.6554385964,1.072863e6,0.8089054364754,12,true,9.8,5.895999999999999,3.0860000000000003,0.4930000000000001,0.49133333333333323,0.2571666666666667,0.04108333333333334,3.1645569620253164,2.666073960043453,10.2,4.0,4.05,1.8006403508771929,2.5,2.5,4.0,4.0,2.0,2.0
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,13,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,false,false,false,false,595842.4800000001,970182.0,0.6282524871338475,11,true,15.369,9.866999999999999,2.692,0.4780000000000001,0.8969999999999999,0.24472727272727274,0.04345454545454546,2.918032786885246,2.729605073508216,8.6875,4.0,3.875,1.7345,2.7142857142857144,2.7142857142857144,4.0,4.0,1.75,1.75
