n_depots,n_customers,n_charging,n_vehicles,depot_pattern,customer_pattern,charging_pattern,customer_spread,xmin,xmax,ymin,ymax,T,seed,B,μ,travel_cost_coeff,charge_cost_coeff,load_scale,load_shape,load_tolerance,batch,permissiveness,use_load,use_time_windows,method,elementary,ngroute,ngroute_alt,ngroute_neighborhood_size,ngroute_neighborhood_depots_size,ngroute_neighborhood_charging_size,use_smaller_graph,use_adaptive_ngroute,use_SR3_cuts,use_lmSR3_cuts,time_taken_first,time_taken_total,time_taken_total_SR3,sp_time_taken_mean_first,sp_time_taken_mean_last,sp_time_taken_mean_last_SR3,converged,time_limit,time_limit_reached,n_iterations,n_CG_iterations,LP_objective_first,LP_objective_last,LP_objective_last_SR3,IP_objective_first,IP_objective_last,IP_objective_last_SR3,LP_IP_gap_first,LP_IP_gap_last,LP_IP_gap_last_SR3,neighborhood_size_mean_first,neighborhood_size_mean_last,neighborhood_size_mean_last_SR3,implemented_SR3_cuts_count_total,mean_subpath_length,mean_path_length,mean_ps_length
4,28,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,90000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,medium,false,true,true,true,8.519,10.721,3442.3070000000002,0.4276315789473684,0.5377500000000001,70.75866666666667,false,3600.0,true,55,177,1.7393304285714284e6,1.7419222222222218e6,1.842513898413088e6,1.91828e6,1.91828e6,1.856812e6,9.328647091590991,0.09193536802644986,0.007700349624470415,8.357142857142856,18.07142857142857,12.607142857142858,292,2.3116704531866556,11.285755983654408,4.882078225335668
4,28,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,90000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,small,false,true,true,false,2.852,8.482999999999999,1678.85,0.09004166666666666,0.52375,105.49425,true,3600.0,false,19,89,1.6183038053949904e6,1.7419222222222222e6,1.7906000000000026e6,2.79444e6,1.83827e6,1.7906e6,42.0884397090297,0.05241220156874549,-1.3322676295501878e-15,6.0,23.392857142857142,11.214285714285714,53,2.471280087527352,12.15034965034965,4.916621839698763
4,28,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,90000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,small,false,true,true,true,3.14,8.807,3469.054,0.10058333333333333,0.5335,NaN,false,3600.0,true,64,207,1.6183038053949904e6,1.7419222222222222e6,1.8335089642583623e6,2.79444e6,1.83827e6,1.83827e6,42.0884397090297,0.05241220156874549,0.00258995454510913,6.0,23.392857142857142,12.214285714285714,280,2.2789976328462984,10.771604938271604,4.726466049382716
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,1,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,medium,false,true,true,false,16.825,30.412999999999997,3512.3329999999996,0.6756666666666667,1.2786666666666666,739.0699999999999,false,3600.0,true,14,69,1.7012149679487182e6,1.710529333333333e6,1.7489655144733642e6,1.83946e6,1.83946e6,1.81608e6,7.515522601811497,0.07009158484917688,0.03695568781476355,8.0625,27.34375,10.375,50,2.47938689217759,10.858796296296296,4.37962962962963
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,1,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,medium,false,true,true,true,17.277,31.381,2571.151000000001,0.6940000000000001,1.3373333333333333,58.81249999999999,false,3600.0,false,64,169,1.7012149679487182e6,1.710529333333333e6,1.766093414549884e6,1.83946e6,1.83946e6,1.81608e6,7.515522601811497,0.07009158484917688,0.027524440250493387,8.0625,27.34375,12.09375,318,2.403020462862739,10.36713364465199,4.314209472981988
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,1,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,small,false,true,true,false,5.323,27.295,3433.0379999999996,0.16457692307692307,0.833,NaN,false,3600.0,true,17,92,1.581368268613139e6,1.7105293333333333e6,1.745868272436707e6,1.0001553922e10,1.99031e6,1.83484e6,99.98418877425502,0.14057140177493288,0.04849018310222852,6.0,46.09375,11.0625,45,2.540260736196319,11.204397197390675,4.410727228799227
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,1,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,small,false,true,true,true,5.286,26.903,2574.732,0.16076923076923078,0.7964999999999999,38.0885,false,3600.0,true,70,218,1.581368268613139e6,1.7105293333333333e6,1.7635530783609757e6,1.0001553922e10,1.99031e6,1.84287e6,99.98418877425502,0.14057140177493288,0.043039889758379246,6.0,46.09375,12.1875,369,2.471882640586797,10.711491442542787,4.333333333333333
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,2,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,medium,false,true,true,false,11.166,17.676000000000002,517.7399999999999,0.5091428571428571,0.7073333333333333,23.923499999999997,false,3600.0,false,16,77,1.77060375e6,1.786465e6,1.84999e6,1.885124e6,1.885124e6,1.882148e6,6.074945202543702,0.05233554927951689,0.017085797716226314,8.0625,27.0625,10.03125,52,2.4338242661056007,10.694254897644727,4.3940127668941225
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,2,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,medium,false,true,true,true,11.401,17.987,777.5780000000001,0.5226666666666666,0.7003333333333334,18.55225,false,3600.0,false,35,128,1.77060375e6,1.786465e6,1.8842710000000035e6,1.885124e6,1.885124e6,1.885124e6,6.074945202543702,0.05233554927951689,0.00045249012796855226,8.0625,27.0625,10.90625,150,2.30219978362784,10.048268625393494,4.364637985309549
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,2,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,small,false,true,true,false,3.225,17.912,253.51000000000002,0.11755,0.7280000000000001,13.060749999999999,false,3600.0,false,13,80,1.6730705743661972e6,1.786465e6,1.8499899999999995e6,6.0e10,1.882148e6,1.882148e6,99.99721154904272,0.05083712864238099,0.017085797716226647,6.0,34.34375,10.34375,42,2.454331059978329,10.728893842295903,4.371412649763165
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,2,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,small,false,true,true,true,3.262,18.022,521.9,0.12105000000000002,0.7356,11.0715,true,3600.0,false,41,142,1.6730705743661972e6,1.786465e6,1.8821479999999995e6,6.0e10,1.882148e6,1.882148e6,99.99721154904272,0.05083712864238099,2.220446049250313e-16,6.0,34.34375,10.78125,151,2.407099094299414,10.50116211504939,4.362579895409645
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,3,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,medium,false,true,true,false,8.635,12.017999999999999,3505.3060000000005,0.3735454545454545,0.401,NaN,false,3600.0,true,30,103,2.0145996875000005e6,2.01995e6,2.094805402298848e6,2.303822e6,2.303822e6,2.09593e6,12.554021643165125,0.12321785276813924,0.0005365626243014621,8.0625,24.75,10.28125,101,2.3972187104930467,11.004311059525783,4.590449345050572
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,3,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,medium,false,true,true,true,9.019,12.693999999999999,321.472,0.38986363636363636,0.4375,5.83025,true,3600.0,false,34,140,2.0145996875000005e6,2.01995e6,2.09676e6,2.303822e6,2.303822e6,2.09676e6,12.554021643165125,0.12321785276813924,0.0,8.0625,24.75,10.34375,99,2.266870644229135,10.103030303030303,4.456818181818182
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,3,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,small,false,true,true,false,4.212,7.968999999999999,3358.512,0.14233333333333337,0.1735,115.408,false,3600.0,true,29,125,1.844108071278826e6,2.01995e6,2.0946960399334442e6,2.45576e6,2.37607e6,2.09593e6,24.906828383928957,0.1498777392921926,0.0005887410679534799,6.0,28.59375,8.8125,108,2.417909186906019,11.407732164208849,4.7180151454762855
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,3,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,small,false,true,true,true,4.045,7.939,672.484,0.13945833333333335,0.192,6.938999999999999,false,3600.0,false,67,221,1.844108071278826e6,2.01995e6,2.1003900838983064e6,2.45576e6,2.37607e6,2.11805e6,24.906828383928957,0.1498777392921926,0.008337818324257507,6.0,28.59375,9.71875,296,2.3153578750334254,10.230799527372982,4.4186687672311935
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,4,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,medium,false,true,true,false,8.538,15.424999999999999,3492.927,0.38642857142857145,0.597,NaN,false,3600.0,true,20,79,1.8881317517241377e6,1.9102467499999998e6,1.9617682026627213e6,2.063652e6,2.00967e6,1.97597e6,8.505322034716233,0.04947242582115485,0.007187253519678305,8.0625,26.375,10.09375,81,2.450663151166507,11.115238267802138,4.535604276136981
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,4,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,medium,false,true,true,true,8.501,15.456,346.52099999999996,0.38323809523809527,0.6010000000000001,7.026,false,3600.0,false,34,121,1.8881317517241377e6,1.9102467499999998e6,1.97176e6,2.063652e6,2.00967e6,1.99941e6,8.505322034716233,0.04947242582115485,0.013829079578475678,8.0625,26.375,10.96875,122,2.35638326585695,10.480672268907563,4.447779111644658
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,4,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,small,false,true,true,false,2.873,9.698,1472.7720000000002,0.10963636363636363,0.33533333333333337,83.67175,false,3600.0,false,19,92,1.7641168846271124e6,1.91024675e6,1.9638166666666663e6,2.40651e6,2.03124e6,1.97456e6,26.693972407049525,0.05956620094129694,0.005440874591470357,6.0,34.375,10.3125,72,2.4887670602668304,11.433075026417752,4.593871081366679
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,4,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,small,false,true,true,true,2.869,9.790000000000001,223.82,0.10945454545454544,0.33266666666666667,6.9559999999999995,true,3600.0,false,34,118,1.7641168846271124e6,1.91024675e6,1.9759699999999932e6,2.40651e6,2.03124e6,1.97597e6,26.693972407049525,0.05956620094129694,3.4416913763379853e-15,6.0,34.375,11.65625,113,2.3967081662798058,10.404274809160306,4.341068702290077
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,5,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,medium,false,true,true,false,11.002,19.464,1197.8019999999997,0.4593043478260869,0.6006,37.32766666666666,false,3600.0,false,23,88,1.9888782448979593e6,2.0097068421052636e6,2.0620300000000016e6,2.22086e6,2.22086e6,2.11914e6,10.445582121432274,0.09507720337830228,0.026949611634907722,8.0625,35.34375,9.5625,103,2.306104223576382,10.18538283062645,4.416705336426914
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,5,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,medium,false,true,true,true,11.302,20.196,871.769,0.47291304347826096,0.6432,16.8365,false,3600.0,false,50,163,1.9888782448979593e6,2.0097068421052636e6,2.0782802676713744e6,2.22086e6,2.22086e6,2.19142e6,10.445582121432274,0.09507720337830228,0.051628502217112904,8.0625,35.34375,10.15625,285,2.2608405198591037,9.830208608397148,4.348032743596514
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,5,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,small,false,true,true,false,8.587,16.194999999999997,1120.2189999999998,0.3301818181818182,0.34600000000000003,47.11533333333333,false,3600.0,false,31,106,1.907425265625e6,2.0097068421052634e6,2.0620299999999988e6,6.0e10,2.27851e6,2.17225e6,99.99682095789062,0.11797321841674457,0.05074001611232648,6.0,46.34375,9.03125,107,2.288329348475792,10.044932764840931,4.389635946211873
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,5,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,small,false,true,true,true,8.48,16.057,749.1240000000001,0.33268181818181813,0.356,9.845999999999998,false,3600.0,false,51,175,1.907425265625e6,2.0097068421052634e6,2.071945339913838e6,6.0e10,2.27851e6,2.21941e6,99.99682095789062,0.11797321841674457,0.06644318088418177,6.0,46.34375,9.8125,222,2.2288350634371397,9.75959595959596,4.378787878787879
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,6,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,medium,false,true,true,false,6.707,11.246,1353.359,0.3022857142857143,0.512,50.812000000000005,false,3600.0,false,22,84,1.908716260869565e6,1.9283445454545454e6,1.9855702650602416e6,2.14269e6,2.14269e6,2.00979e6,10.919626223599078,0.10003568157104137,0.012050878420013289,8.0625,26.75,10.1875,100,2.353594045831429,10.556368960468522,4.485212298682284
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,6,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,medium,false,true,true,true,7.001,11.807,364.847,0.319047619047619,0.5423333333333333,11.685,false,3600.0,false,31,112,1.908716260869565e6,1.9283445454545454e6,1.9959473333333335e6,2.14269e6,2.14269e6,2.03542e6,10.919626223599078,0.10003568157104137,0.01939288533406691,8.0625,26.75,11.281250000000002,129,2.2630055602102215,10.01044474393531,4.423517520215634
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,6,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,small,false,true,true,false,3.103,10.661,831.075,0.11319047619047619,0.378,32.992000000000004,false,3600.0,false,23,101,1.7817933033343167e6,1.928344545454545e6,1.9855702650602418e6,2.28696e6,2.01718e6,2.0084e6,22.08900447168658,0.0440394285812149,0.01136712554260022,6.0,41.71875,10.0,99,2.354379468845761,10.524828767123287,4.470319634703197
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,6,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,small,false,true,true,true,3.073,10.315999999999999,842.0809999999998,0.11395238095238096,0.326,12.947000000000001,false,3600.0,false,61,191,1.7817933033343167e6,1.928344545454545e6,1.9987554877799049e6,2.28696e6,2.01718e6,2.01718e6,22.08900447168658,0.0440394285812149,0.009133796795573579,6.0,41.71875,10.875,263,2.2922744085421174,10.175340768277572,4.438971499380421
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,7,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,medium,false,true,true,false,6.749,10.565999999999999,223.08100000000002,0.304047619047619,0.487,11.625499999999999,true,3600.0,false,15,60,1.9450030158730156e6,1.9688062e6,1.99411e6,2.04007e6,2.04007e6,1.99411e6,4.659986379241121,0.034932036645801356,0.0,8.0625,27.25,10.125,68,2.4452449567723344,10.860156435174211,4.441336809670538
4,32,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,7,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,6,small,medium,false,true,true,true,6.786,10.838,201.291,0.3063809523809524,0.52175,4.397,false,3600.0,false,45,120,1.9450030158730156e6,1.9688062e6,2.007381052631578e6,2.04007e6,2.04007e6,2.03282e6,4.659986379241121,0.034932036645801356,0.012514117023849636,8.0625,27.25,11.125,196,2.2614740618926596,9.841899804814574,4.351984385165908
