n_customers,method,ngroute_alt,ngroute_neighborhood_charging_size,time_taken_first_geomean,time_taken_total_geomean,time_taken_total_SR3_geomean,time_taken_total_SR3_geomean_skipmissing,time_taken_total_lmSR3_geomean,sp_time_taken_mean_first_geomean,sp_time_taken_mean_last_geomean,sp_time_taken_mean_last_SR3_geomean,sp_time_taken_mean_last_SR3_geomean_skipmissing,sp_time_taken_mean_last_lmSR3_geomean,LP_IP_gap_first_mean,LP_IP_gap_last_mean,LP_IP_gap_last_SR3_mean,LP_IP_gap_last_SR3_mean_skipmissing,LP_IP_gap_last_lmSR3_mean,converged_first_mean,converged_last_mean,converged_last_SR3_mean,converged_last_lmSR3_mean,n_iterations_mean,n_CG_iterations_mean,n_CG_iterations_SR3_mean,n_CG_iterations_lmSR3_mean
24,ours,true,small,2.344494262874188,5.108983770371061,7.764634135226174,7.764634135226174,10.802233657586227,0.11114289033850082,0.2071306817164753,0.39540874196460407,0.39540874196460407,0.5677207955389905,10.633887298112592,1.2529016250347949,0.03313972981419555,0.03313972981419555,0.22683362324766812,0.0,0.45,0.8,0.8,4.7,30.9,37.35,42.15
24,ours,true,medium,7.351816769838809,7.880571992578671,13.914841518320632,13.914841518320632,15.37695996040987,0.4387350587871176,0.43671504718181553,0.7924556058445298,0.7924556058445298,0.8312932102085239,1.0233017379509135,0.8346031881579657,0.03313972981419555,0.03313972981419555,0.10463155341189745,0.3,0.45,0.8,0.8,3.4,17.7,25.45,27.8
28,benchmark,false,small,59.535889184438034,98.17300019058654,172.12231806515217,172.12231806515217,151.92328090751192,3.1399823675923293,2.9853872004853286,6.781950570392695,6.781950570392695,4.6885360410347685,9.44295891251871,1.3039130028979478,0.1085114866388126,0.1085114866388126,0.12680838800212368,0.0,0.3,0.7,0.7,5.0,30.4,39.4,42.05
28,benchmark,false,medium,68.40076489883519,77.21728814764913,146.86221029356983,146.86221029356983,122.37529253402724,3.880243765737259,3.738248276028861,8.242983201490315,8.242983201490315,5.42008924855696,1.4112464565070875,1.0632814008379303,0.09686554730017671,0.09686554730017671,0.11535279183926272,0.3,0.3,0.7,0.7,3.95,20.3,28.9,30.4
28,benchmark,true,small,29.10633576389545,52.84839672657873,,84.96946758683474,89.73666821478312,1.5063784601682417,1.6089785198042879,,4.18076982167684,3.4081776844291065,9.44295891251871,1.1403788189421697,,0.06234528545570791,0.11145448179663286,0.0,0.3,,0.7,4.9,31.5,,41.85
28,benchmark,true,medium,41.49858624698866,50.54398999364974,,90.65300345214438,86.83234274282412,2.3394957045930167,2.460627305224663,,6.028354869576196,4.651945760887562,1.4112464565070875,0.991205571951123,,0.06234528545570791,0.11535279183925606,0.3,0.3,,0.65,3.95,21.6,,30.35
28,ours,false,small,4.449529158717873,39.08612478176843,,61.86292258324662,89.7090120976659,0.2016425778535442,2.6171543132743746,,3.8460141620433177,5.010203934269058,20.29772371151543,1.532115874067781,,0.06234528545570791,0.14966388945709674,0.0,0.3,,0.75,5.0,34.15,,44.75
28,ours,false,medium,154.78990743480847,186.21088298267588,,220.94764204516807,268.5357473251762,7.883013868403548,8.157977818089929,,9.378437805537342,10.689506429092958,1.3193855903671312,0.9314636601535314,,0.06234528545570482,0.06463599560606048,0.3,0.3,,0.7,3.95,24.2,,33.75
28,ours,true,small,3.5990509643219983,8.51325633721124,20.772083147104222,20.772083147104222,23.756008710957243,0.1588986156204829,0.3590061884610304,1.1514519050714067,1.1514519050714067,1.3092406363226534,20.29772371151543,1.706808707707803,0.09686554730017727,0.09686554730017727,0.14966388945709674,0.0,0.3,0.7,0.75,4.95,32.0,42.05,43.9
28,ours,true,medium,17.009876915401016,19.43298375030715,43.179337306231076,43.179337306231076,42.95540187717827,0.8968963866880681,0.8863125136053366,2.6731349413959093,2.6731349413959093,2.409481073051772,1.769040583205173,1.4026123640443875,0.09686554730017671,0.09686554730017671,0.11611555052610356,0.3,0.3,0.7,0.75,3.85,21.75,30.9,32.2
